estrato,N,n,posicao_zero_based,pagina,pi_compra,seed
T1-M01,1,1,0,1,1.0,20260915
T1-M04,429,2,5,1,0.004662004662004662,20260915
T1-M04,429,2,178,4,0.004662004662004662,20260915
T1-M05,1,1,0,1,1.0,20260915
T1-M06,2755,17,138,3,0.006170598911070781,20260915
T1-M06,2755,17,182,4,0.006170598911070781,20260915
T1-M06,2755,17,257,6,0.006170598911070781,20260915
T1-M06,2755,17,299,6,0.006170598911070781,20260915
T1-M06,2755,17,397,8,0.006170598911070781,20260915
T1-M06,2755,17,563,12,0.006170598911070781,20260915
T1-M06,2755,17,857,18,0.006170598911070781,20260915
T1-M06,2755,17,867,18,0.006170598911070781,20260915
T1-M06,2755,17,1057,22,0.006170598911070781,20260915
T1-M06,2755,17,1091,22,0.006170598911070781,20260915
T1-M06,2755,17,1456,30,0.006170598911070781,20260915
T1-M06,2755,17,2049,41,0.006170598911070781,20260915
T1-M06,2755,17,2144,43,0.006170598911070781,20260915
T1-M06,2755,17,2504,51,0.006170598911070781,20260915
T1-M06,2755,17,2604,53,0.006170598911070781,20260915
T1-M06,2755,17,2638,53,0.006170598911070781,20260915
T1-M06,2755,17,2714,55,0.006170598911070781,20260915
T1-M07,12,2,10,1,0.16666666666666666,20260915
T1-M07,12,2,11,1,0.16666666666666666,20260915
T1-M08,5695,37,120,3,0.0064969271290605795,20260915
T1-M08,5695,37,202,5,0.0064969271290605795,20260915
T1-M08,5695,37,748,15,0.0064969271290605795,20260915
T1-M08,5695,37,852,18,0.0064969271290605795,20260915
T1-M08,5695,37,872,18,0.0064969271290605795,20260915
T1-M08,5695,37,1000,21,0.0064969271290605795,20260915
T1-M08,5695,37,1094,22,0.0064969271290605795,20260915
T1-M08,5695,37,1235,25,0.0064969271290605795,20260915
T1-M08,5695,37,1335,27,0.0064969271290605795,20260915
T1-M08,5695,37,1380,28,0.0064969271290605795,20260915
T1-M08,5695,37,1539,31,0.0064969271290605795,20260915
T1-M08,5695,37,1847,37,0.0064969271290605795,20260915
T1-M08,5695,37,2002,41,0.0064969271290605795,20260915
T1-M08,5695,37,2034,41,0.0064969271290605795,20260915
T1-M08,5695,37,2039,41,0.0064969271290605795,20260915
T1-M08,5695,37,2155,44,0.0064969271290605795,20260915
T1-M08,5695,37,2230,45,0.0064969271290605795,20260915
T1-M08,5695,37,2253,46,0.0064969271290605795,20260915
T1-M08,5695,37,2348,47,0.0064969271290605795,20260915
T1-M08,5695,37,2352,48,0.0064969271290605795,20260915
