fornecedor,total,porte,quantidade,percentual
01252870000110,1,MEI,0,0.0
01252870000110,1,ME,1,100.0
01252870000110,1,EPP,0,0.0
01252870000110,1,Demais Empresas,0,0.0
01252870000110,1,Não se aplica,0,0.0
01252870000110,1,Não informado,0,0.0
02425466000164,1,MEI,0,0.0
02425466000164,1,ME,0,0.0
02425466000164,1,EPP,0,0.0
02425466000164,1,Demais Empresas,1,100.0
02425466000164,1,Não se aplica,0,0.0
02425466000164,1,Não informado,0,0.0
02498857000109,5,MEI,0,0.0
02498857000109,5,ME,5,100.0
02498857000109,5,EPP,0,0.0
02498857000109,5,Demais Empresas,0,0.0
02498857000109,5,Não se aplica,0,0.0
02498857000109,5,Não informado,0,0.0
02520829000140,1,MEI,0,0.0
02520829000140,1,ME,0,0.0
02520829000140,1,EPP,0,0.0
02520829000140,1,Demais Empresas,1,100.0
02520829000140,1,Não se aplica,0,0.0
02520829000140,1,Não informado,0,0.0
02668300000179,1,MEI,0,0.0
02668300000179,1,ME,0,0.0
02668300000179,1,EPP,0,0.0
02668300000179,1,Demais Empresas,1,100.0
02668300000179,1,Não se aplica,0,0.0
02668300000179,1,Não informado,0,0.0
03475276000114,2,MEI,0,0.0
03475276000114,2,ME,0,0.0
03475276000114,2,EPP,0,0.0
03475276000114,2,Demais Empresas,2,100.0
03475276000114,2,Não se aplica,0,0.0
03475276000114,2,Não informado,0,0.0
03637812000130,3,MEI,0,0.0
03637812000130,3,ME,0,0.0
03637812000130,3,EPP,0,0.0
03637812000130,3,Demais Empresas,3,100.0
03637812000130,3,Não se aplica,0,0.0
03637812000130,3,Não informado,0,0.0
03648344000108,1,MEI,0,0.0
03648344000108,1,ME,0,0.0
03648344000108,1,EPP,0,0.0
03648344000108,1,Demais Empresas,1,100.0
03648344000108,1,Não se aplica,0,0.0
03648344000108,1,Não informado,0,0.0
04198254000117,1,MEI,0,0.0
04198254000117,1,ME,0,0.0
04198254000117,1,EPP,0,0.0
04198254000117,1,Demais Empresas,1,100.0
04198254000117,1,Não se aplica,0,0.0
04198254000117,1,Não informado,0,0.0
04230084000100,5,MEI,0,0.0
04230084000100,5,ME,0,0.0
04230084000100,5,EPP,0,0.0
04230084000100,5,Demais Empresas,0,0.0
04230084000100,5,Não se aplica,0,0.0
04230084000100,5,Não informado,5,100.0
07113609368,1,MEI,0,0.0
07113609368,1,ME,0,0.0
07113609368,1,EPP,0,0.0
07113609368,1,Demais Empresas,1,100.0
07113609368,1,Não se aplica,0,0.0
07113609368,1,Não informado,0,0.0
07188842000168,1,MEI,0,0.0
07188842000168,1,ME,0,0.0
07188842000168,1,EPP,0,0.0
07188842000168,1,Demais Empresas,1,100.0
07188842000168,1,Não se aplica,0,0.0
07188842000168,1,Não informado,0,0.0
07663719000151,1,MEI,0,0.0
07663719000151,1,ME,0,0.0
07663719000151,1,EPP,0,0.0
07663719000151,1,Demais Empresas,1,100.0
07663719000151,1,Não se aplica,0,0.0
07663719000151,1,Não informado,0,0.0
07817778000137,1,MEI,0,0.0
07817778000137,1,ME,0,0.0
07817778000137,1,EPP,0,0.0
07817778000137,1,Demais Empresas,1,100.0
