municipio_ibge,municipio,total,porte,quantidade,percentual
2300754,Amontada,6,MEI,0,0.0
2300754,Amontada,6,ME,3,50.0
2300754,Amontada,6,EPP,1,16.6667
2300754,Amontada,6,Demais Empresas,0,0.0
2300754,Amontada,6,Não se aplica,0,0.0
2300754,Amontada,6,Não informado,2,33.3333
2304400,Fortaleza,27,MEI,0,0.0
2304400,Fortaleza,27,ME,10,37.037
2304400,Fortaleza,27,EPP,2,7.4074
2304400,Fortaleza,27,Demais Empresas,15,55.5556
2304400,Fortaleza,27,Não se aplica,0,0.0
2304400,Fortaleza,27,Não informado,0,0.0
2307304,Juazeiro do Norte,40,MEI,0,0.0
2307304,Juazeiro do Norte,40,ME,14,35.0
2307304,Juazeiro do Norte,40,EPP,0,0.0
2307304,Juazeiro do Norte,40,Demais Empresas,21,52.5
2307304,Juazeiro do Norte,40,Não se aplica,0,0.0
2307304,Juazeiro do Norte,40,Não informado,5,12.5
2312908,Sobral,26,MEI,0,0.0
2312908,Sobral,26,ME,13,50.0
2312908,Sobral,26,EPP,2,7.6923
2312908,Sobral,26,Demais Empresas,11,42.3077
2312908,Sobral,26,Não se aplica,0,0.0
2312908,Sobral,26,Não informado,0,0.0
