municipio_ibge,municipio,periodo,total,porte,quantidade,percentual
2300754,Amontada,2025-01,0,MEI,0,
2300754,Amontada,2025-01,0,ME,0,
2300754,Amontada,2025-01,0,EPP,0,
2300754,Amontada,2025-01,0,Demais Empresas,0,
2300754,Amontada,2025-01,0,Não se aplica,0,
2300754,Amontada,2025-01,0,Não informado,0,
2300754,Amontada,2025-05,3,MEI,0,0.0
2300754,Amontada,2025-05,3,ME,1,33.3333
2300754,Amontada,2025-05,3,EPP,1,33.3333
2300754,Amontada,2025-05,3,Demais Empresas,0,0.0
2300754,Amontada,2025-05,3,Não se aplica,0,0.0
2300754,Amontada,2025-05,3,Não informado,1,33.3333
2300754,Amontada,2025-09,3,MEI,0,0.0
2300754,Amontada,2025-09,3,ME,2,66.6667
2300754,Amontada,2025-09,3,EPP,0,0.0
2300754,Amontada,2025-09,3,Demais Empresas,0,0.0
2300754,Amontada,2025-09,3,Não se aplica,0,0.0
2300754,Amontada,2025-09,3,Não informado,1,33.3333
2304400,Fortaleza,2025-01,9,MEI,0,0.0
2304400,Fortaleza,2025-01,9,ME,0,0.0
2304400,Fortaleza,2025-01,9,EPP,0,0.0
2304400,Fortaleza,2025-01,9,Demais Empresas,9,100.0
2304400,Fortaleza,2025-01,9,Não se aplica,0,0.0
2304400,Fortaleza,2025-01,9,Não informado,0,0.0
2304400,Fortaleza,2025-05,7,MEI,0,0.0
2304400,Fortaleza,2025-05,7,ME,1,14.2857
2304400,Fortaleza,2025-05,7,EPP,0,0.0
2304400,Fortaleza,2025-05,7,Demais Empresas,6,85.7143
2304400,Fortaleza,2025-05,7,Não se aplica,0,0.0
2304400,Fortaleza,2025-05,7,Não informado,0,0.0
2304400,Fortaleza,2025-09,11,MEI,0,0.0
2304400,Fortaleza,2025-09,11,ME,9,81.8182
2304400,Fortaleza,2025-09,11,EPP,2,18.1818
2304400,Fortaleza,2025-09,11,Demais Empresas,0,0.0
2304400,Fortaleza,2025-09,11,Não se aplica,0,0.0
2304400,Fortaleza,2025-09,11,Não informado,0,0.0
2307304,Juazeiro do Norte,2025-01,9,MEI,0,0.0
2307304,Juazeiro do Norte,2025-01,9,ME,1,11.1111
2307304,Juazeiro do Norte,2025-01,9,EPP,0,0.0
2307304,Juazeiro do Norte,2025-01,9,Demais Empresas,3,33.3333
2307304,Juazeiro do Norte,2025-01,9,Não se aplica,0,0.0
2307304,Juazeiro do Norte,2025-01,9,Não informado,5,55.5556
2307304,Juazeiro do Norte,2025-05,17,MEI,0,0.0
2307304,Juazeiro do Norte,2025-05,17,ME,6,35.2941
2307304,Juazeiro do Norte,2025-05,17,EPP,0,0.0
2307304,Juazeiro do Norte,2025-05,17,Demais Empresas,11,64.7059
2307304,Juazeiro do Norte,2025-05,17,Não se aplica,0,0.0
2307304,Juazeiro do Norte,2025-05,17,Não informado,0,0.0
2307304,Juazeiro do Norte,2025-09,14,MEI,0,0.0
2307304,Juazeiro do Norte,2025-09,14,ME,7,50.0
2307304,Juazeiro do Norte,2025-09,14,EPP,0,0.0
2307304,Juazeiro do Norte,2025-09,14,Demais Empresas,7,50.0
2307304,Juazeiro do Norte,2025-09,14,Não se aplica,0,0.0
2307304,Juazeiro do Norte,2025-09,14,Não informado,0,0.0
2312908,Sobral,2025-01,2,MEI,0,0.0
2312908,Sobral,2025-01,2,ME,1,50.0
2312908,Sobral,2025-01,2,EPP,0,0.0
2312908,Sobral,2025-01,2,Demais Empresas,1,50.0
2312908,Sobral,2025-01,2,Não se aplica,0,0.0
2312908,Sobral,2025-01,2,Não informado,0,0.0
2312908,Sobral,2025-05,11,MEI,0,0.0
2312908,Sobral,2025-05,11,ME,5,45.4545
2312908,Sobral,2025-05,11,EPP,0,0.0
2312908,Sobral,2025-05,11,Demais Empresas,6,54.5455
2312908,Sobral,2025-05,11,Não se aplica,0,0.0
2312908,Sobral,2025-05,11,Não informado,0,0.0
2312908,Sobral,2025-09,13,MEI,0,0.0
2312908,Sobral,2025-09,13,ME,7,53.8462
2312908,Sobral,2025-09,13,EPP,2,15.3846
2312908,Sobral,2025-09,13,Demais Empresas,4,30.7692
2312908,Sobral,2025-09,13,Não se aplica,0,0.0
2312908,Sobral,2025-09,13,Não informado,0,0.0
