orgao,total,porte,quantidade,percentual
00509018000113,1,MEI,0,0.0
00509018000113,1,ME,1,100.0
00509018000113,1,EPP,0,0.0
00509018000113,1,Demais Empresas,0,0.0
00509018000113,1,Não se aplica,0,0.0
00509018000113,1,Não informado,0,0.0
00509968000148,1,MEI,0,0.0
00509968000148,1,ME,1,100.0
00509968000148,1,EPP,0,0.0
00509968000148,1,Demais Empresas,0,0.0
00509968000148,1,Não se aplica,0,0.0
00509968000148,1,Não informado,0,0.0
06582555000175,2,MEI,0,0.0
06582555000175,2,ME,0,0.0
06582555000175,2,EPP,0,0.0
06582555000175,2,Demais Empresas,0,0.0
06582555000175,2,Não se aplica,0,0.0
06582555000175,2,Não informado,2,100.0
06750525000120,1,MEI,0,0.0
06750525000120,1,ME,0,0.0
06750525000120,1,EPP,0,0.0
06750525000120,1,Demais Empresas,1,100.0
06750525000120,1,Não se aplica,0,0.0
06750525000120,1,Não informado,0,0.0
07288905000158,1,MEI,0,0.0
07288905000158,1,ME,0,0.0
07288905000158,1,EPP,0,0.0
07288905000158,1,Demais Empresas,1,100.0
07288905000158,1,Não se aplica,0,0.0
07288905000158,1,Não informado,0,0.0
07598634000137,13,MEI,0,0.0
07598634000137,13,ME,2,15.3846
07598634000137,13,EPP,1,7.6923
07598634000137,13,Demais Empresas,10,76.9231
07598634000137,13,Não se aplica,0,0.0
07598634000137,13,Não informado,0,0.0
07954480000179,40,MEI,0,0.0
07954480000179,40,ME,31,77.5
07954480000179,40,EPP,4,10.0
07954480000179,40,Demais Empresas,5,12.5
07954480000179,40,Não se aplica,0,0.0
07954480000179,40,Não informado,0,0.0
07954605000160,5,MEI,0,0.0
07954605000160,5,ME,0,0.0
07954605000160,5,EPP,0,0.0
07954605000160,5,Demais Empresas,5,100.0
07954605000160,5,Não se aplica,0,0.0
07954605000160,5,Não informado,0,0.0
07974082000114,18,MEI,0,0.0
07974082000114,18,ME,2,11.1111
07974082000114,18,EPP,0,0.0
07974082000114,18,Demais Empresas,11,61.1111
07974082000114,18,Não se aplica,0,0.0
07974082000114,18,Não informado,5,27.7778
09485046000112,1,MEI,0,0.0
09485046000112,1,ME,1,100.0
09485046000112,1,EPP,0,0.0
09485046000112,1,Demais Empresas,0,0.0
09485046000112,1,Não se aplica,0,0.0
09485046000112,1,Não informado,0,0.0
10744098000145,6,MEI,0,0.0
10744098000145,6,ME,1,16.6667
10744098000145,6,EPP,0,0.0
10744098000145,6,Demais Empresas,5,83.3333
10744098000145,6,Não se aplica,0,0.0
10744098000145,6,Não informado,0,0.0
11436747000103,5,MEI,0,0.0
11436747000103,5,ME,0,0.0
11436747000103,5,EPP,0,0.0
11436747000103,5,Demais Empresas,5,100.0
11436747000103,5,Não se aplica,0,0.0
11436747000103,5,Não informado,0,0.0
12208466000166,1,MEI,0,0.0
12208466000166,1,ME,1,100.0
12208466000166,1,EPP,0,0.0
12208466000166,1,Demais Empresas,0,0.0
12208466000166,1,Não se aplica,0,0.0
12208466000166,1,Não informado,0,0.0
18621825000199,1,MEI,0,0.0
18621825000199,1,ME,0,0.0
18621825000199,1,EPP,0,0.0
18621825000199,1,Demais Empresas,1,100.0
18621825000199,1,Não se aplica,0,0.0
18621825000199,1,Não informado,0,0.0
26989715000102,2,MEI,0,0.0
26989715000102,2,ME,0,0.0
26989715000102,2,EPP,0,0.0
26989715000102,2,Demais Empresas,2,100.0
26989715000102,2,Não se aplica,0,0.0
26989715000102,2,Não informado,0,0.0
33787094000140,1,MEI,0,0.0
33787094000140,1,ME,0,0.0
33787094000140,1,EPP,0,0.0
33787094000140,1,Demais Empresas,1,100.0
33787094000140,1,Não se aplica,0,0.0
33787094000140,1,Não informado,0,0.0
