periodo,total,porte,quantidade,percentual
2025-01,20,MEI,0,0.0
2025-01,20,ME,2,10.0
2025-01,20,EPP,0,0.0
2025-01,20,Demais Empresas,13,65.0
2025-01,20,Não se aplica,0,0.0
2025-01,20,Não informado,5,25.0
2025-05,38,MEI,0,0.0
2025-05,38,ME,13,34.2105
2025-05,38,EPP,1,2.6316
2025-05,38,Demais Empresas,23,60.5263
2025-05,38,Não se aplica,0,0.0
2025-05,38,Não informado,1,2.6316
2025-09,41,MEI,0,0.0
2025-09,41,ME,25,60.9756
2025-09,41,EPP,4,9.7561
2025-09,41,Demais Empresas,11,26.8293
2025-09,41,Não se aplica,0,0.0
2025-09,41,Não informado,1,2.439
