compra,item,resultado,municipio_ibge,municipio,periodo,orgao,modalidade,fornecedor,tipo_pessoa,data_resultado,porte_id_original,porte_nome_original,porte,motivo
07954605000160-1-000012/2025,33928,1,2304400,Fortaleza,2025-01,07954605000160,6,13784373000142,PJ,2025-03-21,3,Demais,Demais Empresas,valido
07954605000160-1-000012/2025,33951,1,2304400,Fortaleza,2025-01,07954605000160,6,13784373000142,PJ,2025-03-21,3,Demais,Demais Empresas,valido
07954605000160-1-000012/2025,33924,1,2304400,Fortaleza,2025-01,07954605000160,6,13784373000142,PJ,2025-03-21,3,Demais,Demais Empresas,valido
07954605000160-1-000012/2025,33911,1,2304400,Fortaleza,2025-01,07954605000160,6,13784373000142,PJ,2025-03-21,3,Demais,Demais Empresas,valido
07954605000160-1-000012/2025,33942,1,2304400,Fortaleza,2025-01,07954605000160,6,13784373000142,PJ,2025-03-21,3,Demais,Demais Empresas,valido
07954480000179-1-023899/2024,1,1,2304400,Fortaleza,2025-01,07954480000179,6,07188842000168,PJ,2025-06-23,3,Demais,Demais Empresas,valido
07288905000158-1-000002/2025,1,1,2304400,Fortaleza,2025-01,07288905000158,8,04198254000117,PJ,2025-01-27,3,Demais,Demais Empresas,valido
33787094000140-1-000044/2025,1,1,2304400,Fortaleza,2025-01,33787094000140,9,72403157000179,PJ,2025-01-30,3,Demais,Demais Empresas,valido
06750525000120-1-000114/2024,1,1,2304400,Fortaleza,2025-01,06750525000120,9,07663719000151,PJ,2025-01-28,3,Demais,Demais Empresas,valido
07954480000179-1-006830/2025,1,1,2304400,Fortaleza,2025-05,07954480000179,6,50595271000105,PJ,2025-07-24,3,Demais,Demais Empresas,valido
07954480000179-1-006830/2025,3,1,2304400,Fortaleza,2025-05,07954480000179,6,50595271000105,PJ,2025-07-24,3,Demais,Demais Empresas,valido
07954480000179-1-006830/2025,4,1,2304400,Fortaleza,2025-05,07954480000179,6,02668300000179,PJ,2025-07-24,3,Demais,Demais Empresas,valido
07954480000179-1-006830/2025,2,1,2304400,Fortaleza,2025-05,07954480000179,6,50595271000105,PJ,2025-07-24,3,Demais,Demais Empresas,valido
26989715000102-1-000950/2025,2,1,2304400,Fortaleza,2025-05,26989715000102,8,03475276000114,PJ,2025-05-26,3,Demais,Demais Empresas,valido
26989715000102-1-000950/2025,1,1,2304400,Fortaleza,2025-05,26989715000102,8,03475276000114,PJ,2025-06-04,3,Demais,Demais Empresas,valido
07954480000179-1-007534/2025,1,1,2304400,Fortaleza,2025-05,07954480000179,9,07882416000120,PJ,2025-07-11,1,ME,ME,valido
07954480000179-1-019396/2025,1,1,2304400,Fortaleza,2025-09,07954480000179,6,08077211000134,PJ,2025-11-03,1,ME,ME,valido
07954480000179-1-019396/2025,3,1,2304400,Fortaleza,2025-09,07954480000179,6,21595464000168,PJ,2025-11-03,2,EPP,EPP,valido
07954480000179-1-019396/2025,2,1,2304400,Fortaleza,2025-09,07954480000179,6,43752662000120,PJ,2025-11-03,2,EPP,EPP,valido
07954480000179-1-016274/2025,2,1,2304400,Fortaleza,2025-09,07954480000179,8,35061495000143,PJ,2025-09-16,1,ME,ME,valido
07954480000179-1-016274/2025,1,1,2304400,Fortaleza,2025-09,07954480000179,8,35061495000143,PJ,2025-09-16,1,ME,ME,valido
07954480000179-1-016274/2025,3,1,2304400,Fortaleza,2025-09,07954480000179,8,35061495000143,PJ,2025-09-16,1,ME,ME,valido
07954480000179-1-016274/2025,5,1,2304400,Fortaleza,2025-09,07954480000179,8,35061495000143,PJ,2025-09-16,1,ME,ME,valido
07954480000179-1-016274/2025,4,1,2304400,Fortaleza,2025-09,07954480000179,8,35061495000143,PJ,2025-09-16,1,ME,ME,valido
07954480000179-1-018667/2025,1,1,2304400,Fortaleza,2025-09,07954480000179,8,15069036000107,PJ,2025-10-28,1,ME,ME,valido
00509968000148-1-002950/2025,1,1,2304400,Fortaleza,2025-09,00509968000148,9,28977328000181,PJ,2025-09-11,1,ME,ME,valido
00509018000113-1-002637/2025,1,1,2304400,Fortaleza,2025-09,00509018000113,9,09094300000151,PJ,2025-09-26,1,ME,ME,valido
06582555000175-1-000013/2025,1,1,2300754,Amontada,2025-05,06582555000175,6,27461719000186,PJ,2025-05-27,5,Não Informado,Não informado,codigo_5
07954480000179-1-006340/2025,1,1,2300754,Amontada,2025-05,07954480000179,8,42852532000105,PJ,2025-05-30,2,EPP,EPP,valido
07954480000179-1-005729/2025,1,1,2300754,Amontada,2025-05,07954480000179,8,38276354000136,PJ,2025-05-13,1,ME,ME,valido
06582555000175-1-000021/2025,1,1,2300754,Amontada,2025-09,06582555000175,6,52974175000101,PJ,2025-10-08,5,Não Informado,Não informado,codigo_5
07954480000179-1-016711/2025,1,1,2300754,Amontada,2025-09,07954480000179,8,53029926000176,PJ,2025-09-16,1,ME,ME,valido
07954480000179-1-016795/2025,1,1,2300754,Amontada,2025-09,07954480000179,8,09143572000102,PJ,2025-10-22,1,ME,ME,valido
07598634000137-1-000002/2025,5203253,1,2312908,Sobral,2025-01,07598634000137,8,43262855000101,PJ,2025-01-23,1,ME,ME,valido
10744098000145-1-000008/2025,1,1,2312908,Sobral,2025-01,10744098000145,9,07817778000137,PJ,2025-01-21,3,Demais,Demais Empresas,valido
07598634000137-1-000040/2025,5837469,1,2312908,Sobral,2025-05,07598634000137,6,35187278000102,PJ,2025-06-13,3,Demais,Demais Empresas,valido
07598634000137-1-000040/2025,5837475,1,2312908,Sobral,2025-05,07598634000137,6,35187278000102,PJ,2025-06-13,3,Demais,Demais Empresas,valido
07598634000137-1-000040/2025,5837503,1,2312908,Sobral,2025-05,07598634000137,6,35187278000102,PJ,2025-06-13,3,Demais,Demais Empresas,valido
07598634000137-1-000040/2025,5837479,1,2312908,Sobral,2025-05,07598634000137,6,35187278000102,PJ,2025-06-13,3,Demais,Demais Empresas,valido
07598634000137-1-000040/2025,5837486,1,2312908,Sobral,2025-05,07598634000137,6,35187278000102,PJ,2025-06-13,3,Demais,Demais Empresas,valido
07954480000179-1-007199/2025,1,1,2312908,Sobral,2025-05,07954480000179,8,51158968000181,PJ,2025-06-03,1,ME,ME,valido
07954480000179-1-007199/2025,2,1,2312908,Sobral,2025-05,07954480000179,8,51158968000181,PJ,2025-06-03,1,ME,ME,valido
07954480000179-1-006626/2025,4,1,2312908,Sobral,2025-05,07954480000179,8,41556663000174,PJ,2025-05-26,1,ME,ME,valido
07954480000179-1-006626/2025,1,1,2312908,Sobral,2025-05,07954480000179,8,41556663000174,PJ,2025-05-26,1,ME,ME,valido
07598634000137-1-000034/2025,5826473,1,2312908,Sobral,2025-05,07598634000137,9,07113609368,PF,2025-05-20,3,Demais,Demais Empresas,valido
09485046000112-1-000046/2025,1,1,2312908,Sobral,2025-05,09485046000112,9,28019850000150,PJ,2025-05-07,1,ME,ME,valido
12208466000166-1-000017/2025,1,1,2312908,Sobral,2025-09,12208466000166,6,41016857000187,PJ,2025-10-22,1,ME,ME,valido
07598634000137-1-000112/2025,6545613,1,2312908,Sobral,2025-09,07598634000137,6,35250918000173,PJ,2026-03-27,1,ME,ME,valido
07598634000137-1-000112/2025,6545643,1,2312908,Sobral,2025-09,07598634000137,6,14595725000184,PJ,2026-03-27,2,EPP,EPP,valido
07598634000137-1-000112/2025,6545377,1,2312908,Sobral,2025-09,07598634000137,6,73856593000166,PJ,2026-03-27,3,Demais,Demais Empresas,valido
07598634000137-1-000112/2025,6545741,1,2312908,Sobral,2025-09,07598634000137,6,02520829000140,PJ,2026-03-27,3,Demais,Demais Empresas,valido
07954480000179-1-018472/2025,1,1,2312908,Sobral,2025-09,07954480000179,8,28975806000114,PJ,2025-09-29,2,EPP,EPP,valido
07954480000179-1-018970/2025,7,1,2312908,Sobral,2025-09,07954480000179,8,02498857000109,PJ,2025-10-09,1,ME,ME,valido
07954480000179-1-018970/2025,8,1,2312908,Sobral,2025-09,07954480000179,8,02498857000109,PJ,2025-10-09,1,ME,ME,valido
07954480000179-1-018970/2025,22,1,2312908,Sobral,2025-09,07954480000179,8,02498857000109,PJ,2025-10-09,1,ME,ME,valido
07954480000179-1-018970/2025,17,1,2312908,Sobral,2025-09,07954480000179,8,02498857000109,PJ,2025-10-09,1,ME,ME,valido
07954480000179-1-018970/2025,19,1,2312908,Sobral,2025-09,07954480000179,8,02498857000109,PJ,2025-10-09,1,ME,ME,valido
